tv_id,symbol,description,exchange,type,quote_currency,typespecs,provider_id,prefix,pro_name,original_name,logo_logoid,logo_logoid2
KUCOIN:ZKUSDT,ZKUSDT,zkSync / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCZKSY,crypto/XTVCUSDT
KUCOIN:FETUSDT,FETUSDT,Artificial Superintelligence Alliance / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCFET,crypto/XTVCUSDT
KUCOIN:EWTUSDT,EWTUSDT,Energy Web Token / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCEWT,crypto/XTVCUSDT
KUCOIN:XDBUSDT,XDBUSDT,XDB Chain / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCXDB,crypto/XTVCUSDT
KUCOIN:FLOKIUSDT,FLOKIUSDT,FLOKI / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCFLOKI,crypto/XTVCUSDT
KUCOIN:CRVUSDT,CRVUSDT,Curve / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCCRV,crypto/XTVCUSDT
KUCOIN:TARAUSDT,TARAUSDT,Taraxa Coin / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCTARA,crypto/XTVCUSDT
KUCOIN:KGENUSDT,KGENUSDT,KGEN / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCKGEN,crypto/XTVCUSDT
KUCOIN:CSPRUSDT,CSPRUSDT,Casper / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCCSPR,crypto/XTVCUSDT
KUCOIN:SANDUSDT,SANDUSDT,The Sandbox / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCSAND,crypto/XTVCUSDT
KUCOIN:VIRTUALUSDT,VIRTUALUSDT,Virtual Protocol / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCVIRTUAL,crypto/XTVCUSDT
KUCOIN:ZAMAUSDT,ZAMAUSDT,Zama / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,,
KUCOIN:TOKENUSDT,TOKENUSDT,TokenFi / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCTOKENF,crypto/XTVCUSDT
KUCOIN:NUMUSDT,NUMUSDT,Numbers Protocol / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCNUM,crypto/XTVCUSDT
KUCOIN:NOTUSDT,NOTUSDT,Notcoin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCNOT,crypto/XTVCUSDT
KUCOIN:SUPRAUSDT,SUPRAUSDT,Supra Network / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCSUPRA,crypto/XTVCUSDT
KUCOIN:CAKEUSDT,CAKEUSDT,PancakeSwap Token / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCCAKE,crypto/XTVCUSDT
KUCOIN:LIGHTUSDT,LIGHTUSDT,Bitlight Labs / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCLIGHTB,crypto/XTVCUSDT
KUCOIN:RUNEUSDT,RUNEUSDT,THORChain / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCRUNE,crypto/XTVCUSDT
KUCOIN:AZEROUSDT,AZEROUSDT,Aleph Zero / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCAZERO,crypto/XTVCUSDT
KUCOIN:MYRIAUSDT,MYRIAUSDT,Myria / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCMYRIA,crypto/XTVCUSDT
KUCOIN:BTCUSDC,BTCUSDC,Bitcoin / USD Coin,KuCoin,spot,USDC,crypto,kucoin,KUCOIN,,,crypto/XTVCBTC,crypto/XTVCUSDC
KUCOIN:SIDUSUSDT,SIDUSUSDT,SIDUS / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCSIDUS,crypto/XTVCUSDT
KUCOIN:SPXUSDT,SPXUSDT,SPX6900 / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCSPX6,crypto/XTVCUSDT
KUCOIN:SKYUSDT,SKYUSDT,Sky Protocol / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCSKY2,crypto/XTVCUSDT
KUCOIN:XRDUSDT,XRDUSDT,Radix / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCXRD,crypto/XTVCUSDT
KUCOIN:SUSDT,SUSDT,Sonic / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCSONI,crypto/XTVCUSDT
KUCOIN:SNXUSDT,SNXUSDT,Synthetix Network Token / Tether,KuCoin,spot,USDT,crypto|defi,kucoin,KUCOIN,,,crypto/XTVCSNX,crypto/XTVCUSDT
KUCOIN:THETAUSDT,THETAUSDT,THETA / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCTHETA,crypto/XTVCUSDT
KUCOIN:WLDUSDT,WLDUSDT,Worldcoin / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCWLDW,crypto/XTVCUSDT
KUCOIN:GRTUSDT,GRTUSDT,The Graph / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCGRAPH,crypto/XTVCUSDT
KUCOIN:XAUTUSDT,XAUTUSDT,Tether Gold / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCXAUT,crypto/XTVCUSDT
KUCOIN:ADIUSDT,ADIUSDT,ADI / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCADI2,crypto/XTVCUSDT
KUCOIN:MNTUSDT,MNTUSDT,Mantle Network / Tether,KuCoin,spot,USDT,crypto,kucoin,KUCOIN,,,crypto/XTVCMNT,crypto/XTVCUSDT
